Image,PNG (original),PNG (optimized),JPEG (q90),JPEG (q80),JPEG (q70),JPEG (q60),JPEG (q50),JPEG (q40),JPEG (q30),JPEG (q20),JPEG (q10),JPEG (q0),WebP (lossless),WebP (q90),WebP (q80),WebP (q70),WebP (q60),WebP (q50),WebP (q40),WebP (q30),WebP (q20),WebP (q10),WebP (q0),AVIF (q90),AVIF (q80),AVIF (q70),AVIF (q60),AVIF (q50),AVIF (q40),AVIF (q30),AVIF (q20),AVIF (q10),AVIF (q0),JPEG-XL (lossless),JPEG-XL (q90),JPEG-XL (q80),JPEG-XL (q70),JPEG-XL (q60),JPEG-XL (q50),JPEG-XL (q40),JPEG-XL (q30),JPEG-XL (q20),JPEG-XL (q10),JPEG-XL (q0)
097cb426910ba8ce2525dd8bb7fb1777,2.5 MB,2.2 MB,0.199 MB,0.110 MB,0.075 MB,0.059 MB,0.049 MB,0.040 MB,0.031 MB,0.023 MB,0.016 MB,0.010 MB,1.621 MB,0.194 MB,0.095 MB,0.058 MB,0.045 MB,0.036 MB,0.029 MB,0.024 MB,0.020 MB,0.017 MB,0.011 MB,0.200 MB,0.091 MB,0.066 MB,0.047 MB,0.033 MB,0.022 MB,0.015 MB,0.010 MB,0.006 MB,0.005 MB,1.503 MB,0.187 MB,0.098 MB,0.058 MB,0.039 MB,0.032 MB,0.028 MB,0.024 MB,0.018 MB,0.014 MB,0.007 MB
0c49a5cce349020bbba2f97ae41e90ba,3.4 MB,3.2 MB,0.457 MB,0.300 MB,0.227 MB,0.189 MB,0.162 MB,0.139 MB,0.113 MB,0.084 MB,0.048 MB,0.010 MB,2.564 MB,0.336 MB,0.192 MB,0.145 MB,0.129 MB,0.114 MB,0.099 MB,0.085 MB,0.070 MB,0.055 MB,0.027 MB,0.307 MB,0.190 MB,0.154 MB,0.124 MB,0.101 MB,0.081 MB,0.063 MB,0.044 MB,0.025 MB,0.019 MB,2.192 MB,0.410 MB,0.238 MB,0.172 MB,0.138 MB,0.117 MB,0.100 MB,0.089 MB,0.066 MB,0.042 MB,0.026 MB
100a02c269c5948392f283b2aa3bb4da,3.2 MB,3. MB,0.344 MB,0.227 MB,0.173 MB,0.145 MB,0.126 MB,0.109 MB,0.090 MB,0.069 MB,0.041 MB,0.010 MB,2.336 MB,0.247 MB,0.139 MB,0.110 MB,0.097 MB,0.087 MB,0.077 MB,0.067 MB,0.057 MB,0.048 MB,0.028 MB,0.220 MB,0.109 MB,0.090 MB,0.074 MB,0.063 MB,0.052 MB,0.043 MB,0.033 MB,0.022 MB,0.018 MB,1.966 MB,0.293 MB,0.154 MB,0.109 MB,0.088 MB,0.078 MB,0.069 MB,0.064 MB,0.052 MB,0.040 MB,0.022 MB
100f17892cf7bb12beb12479641fcc4c,2.9 MB,2.6 MB,0.318 MB,0.180 MB,0.121 MB,0.093 MB,0.075 MB,0.060 MB,0.045 MB,0.029 MB,0.015 MB,0.009 MB,1.966 MB,0.310 MB,0.160 MB,0.107 MB,0.088 MB,0.073 MB,0.059 MB,0.043 MB,0.032 MB,0.022 MB,0.010 MB,0.330 MB,0.144 MB,0.109 MB,0.081 MB,0.059 MB,0.041 MB,0.027 MB,0.015 MB,0.007 MB,0.005 MB,1.677 MB,0.272 MB,0.134 MB,0.080 MB,0.060 MB,0.049 MB,0.040 MB,0.035 MB,0.025 MB,0.016 MB,0.007 MB
11f2b039b293758398b1a7a8afa64bb2,3.4 MB,3.3 MB,0.455 MB,0.293 MB,0.217 MB,0.176 MB,0.149 MB,0.125 MB,0.099 MB,0.071 MB,0.038 MB,0.011 MB,2.360 MB,0.467 MB,0.270 MB,0.197 MB,0.171 MB,0.148 MB,0.122 MB,0.098 MB,0.077 MB,0.057 MB,0.028 MB,0.479 MB,0.246 MB,0.197 MB,0.154 MB,0.122 MB,0.094 MB,0.069 MB,0.044 MB,0.023 MB,0.017 MB,2.176 MB,0.466 MB,0.275 MB,0.182 MB,0.133 MB,0.103 MB,0.084 MB,0.072 MB,0.050 MB,0.034 MB,0.019 MB
14ab4af28901fbeb1356b06d2d08ae06,4.1 MB,3.8 MB,0.571 MB,0.367 MB,0.271 MB,0.220 MB,0.186 MB,0.156 MB,0.122 MB,0.086 MB,0.044 MB,0.009 MB,2.928 MB,0.570 MB,0.321 MB,0.241 MB,0.213 MB,0.186 MB,0.160 MB,0.133 MB,0.106 MB,0.079 MB,0.033 MB,0.562 MB,0.284 MB,0.229 MB,0.181 MB,0.147 MB,0.114 MB,0.087 MB,0.057 MB,0.030 MB,0.021 MB,2.440 MB,0.491 MB,0.289 MB,0.201 MB,0.155 MB,0.127 MB,0.109 MB,0.096 MB,0.072 MB,0.048 MB,0.025 MB
1e2f9d41529197f10d32bfa68a1e0bcc,6.6 MB,6.6 MB,1.423 MB,1.004 MB,0.787 MB,0.661 MB,0.570 MB,0.487 MB,0.396 MB,0.287 MB,0.156 MB,0.010 MB,5.624 MB,1.687 MB,1.220 MB,1.003 MB,0.914 MB,0.813 MB,0.730 MB,0.621 MB,0.504 MB,0.379 MB,0.132 MB,1.738 MB,1.114 MB,0.919 MB,0.751 MB,0.611 MB,0.481 MB,0.368 MB,0.239 MB,0.119 MB,0.079 MB,5.173 MB,1.103 MB,0.700 MB,0.479 MB,0.356 MB,0.298 MB,0.263 MB,0.237 MB,0.187 MB,0.131 MB,0.084 MB
22ea12c903e41583b7c469cb86040157,3.3 MB,3.1 MB,0.331 MB,0.201 MB,0.145 MB,0.118 MB,0.101 MB,0.085 MB,0.069 MB,0.052 MB,0.032 MB,0.011 MB,2.391 MB,0.240 MB,0.122 MB,0.089 MB,0.077 MB,0.067 MB,0.057 MB,0.048 MB,0.040 MB,0.032 MB,0.019 MB,0.227 MB,0.116 MB,0.090 MB,0.071 MB,0.057 MB,0.045 MB,0.035 MB,0.024 MB,0.014 MB,0.011 MB,2.248 MB,0.287 MB,0.155 MB,0.108 MB,0.085 MB,0.070 MB,0.060 MB,0.053 MB,0.039 MB,0.026 MB,0.015 MB
28d24b9c83de066597ff96a68769884f,2.4 MB,2.2 MB,0.195 MB,0.120 MB,0.088 MB,0.073 MB,0.062 MB,0.052 MB,0.043 MB,0.033 MB,0.021 MB,0.009 MB,1.682 MB,0.132 MB,0.073 MB,0.055 MB,0.049 MB,0.043 MB,0.039 MB,0.033 MB,0.028 MB,0.023 MB,0.014 MB,0.109 MB,0.064 MB,0.052 MB,0.042 MB,0.035 MB,0.028 MB,0.023 MB,0.016 MB,0.011 MB,0.008 MB,1.508 MB,0.166 MB,0.098 MB,0.071 MB,0.057 MB,0.048 MB,0.043 MB,0.038 MB,0.030 MB,0.021 MB,0.012 MB
2a2420f929cd47122eae364a2bc27710,3.4 MB,3.3 MB,0.368 MB,0.232 MB,0.167 MB,0.134 MB,0.112 MB,0.092 MB,0.070 MB,0.048 MB,0.024 MB,0.009 MB,2.538 MB,0.326 MB,0.181 MB,0.135 MB,0.117 MB,0.101 MB,0.084 MB,0.069 MB,0.053 MB,0.038 MB,0.016 MB,0.298 MB,0.150 MB,0.121 MB,0.096 MB,0.076 MB,0.057 MB,0.042 MB,0.026 MB,0.014 MB,0.010 MB,2.248 MB,0.327 MB,0.187 MB,0.129 MB,0.098 MB,0.080 MB,0.068 MB,0.059 MB,0.043 MB,0.030 MB,0.014 MB
